variant,samples,score_mean,score_ci95_low,score_ci95_high,difference_vs_full,difference_ci95_low,difference_ci95_high,p_value,p_holm,latency_mean_s,routing_mean_s,visual_tokens_mean
full,200,0.795,0.735,0.85,0.0,0.0,0.0,1.0,1.0,0.24382488199998079,0.030173573000033684,64.0
no_diversity_expert,200,0.81,0.755,0.865,0.015,-0.03,0.06,0.6518348165183482,1.0,0.2424695389999988,0.030747790500004157,64.0
no_intent_routing,200,0.805,0.75,0.86,0.01,-0.035,0.055,0.8276172382761724,1.0,0.2403763489999983,0.03212165850001383,64.0
no_modality_calibration,200,0.795,0.735,0.85,0.0,0.0,0.0,1.0,1.0,0.24152374600000256,0.031149003500004255,64.0
no_projected_geometry,200,0.795,0.735,0.85,0.0,0.0,0.0,1.0,1.0,0.24284664650002924,0.02948046650004926,64.0
no_residual_space,200,0.795,0.735,0.85,0.0,0.0,0.0,1.0,1.0,0.23686899150010504,0.02628356999996413,64.0
no_semantics,200,0.795,0.735,0.85,0.0,0.0,0.0,1.0,1.0,0.2351134280000406,0.026573908000082157,64.0
no_vision_space,200,0.795,0.735,0.85,0.0,0.0,0.0,1.0,1.0,0.23818095149996224,0.02761528149996593,64.0
