model,dataset,budget,variant,samples,score_mean,score_ci95_low,score_ci95_high,difference_vs_full,difference_ci95_low,difference_ci95_high,p_value,p_holm,latency_mean_s,routing_mean_s,visual_tokens_mean
llava15-7b,scienceqa,64,no_diversity_expert,200,0.6,0.53,0.665,0.0,0.0,0.0,1.0,1.0,0.29488331799999284,0.03877609049999592,64.0
llava15-7b,scienceqa,64,no_intent_routing,200,0.59,0.52,0.655,-0.01,-0.04,0.015,0.7284271572842715,1.0,0.2985404279999966,0.046458216499941044,64.0
llava15-7b,scienceqa,64,no_modality_calibration,200,0.6,0.53,0.665,0.0,0.0,0.0,1.0,1.0,0.16295146700003899,0.02155998749997707,64.0
llava15-7b,scienceqa,64,no_projected_geometry,200,0.6,0.53,0.665,0.0,0.0,0.0,1.0,1.0,0.2896924244999991,0.03815782350000518,64.0
llava15-7b,scienceqa,64,no_residual_space,200,0.595,0.525,0.66,-0.005,-0.03,0.02,1.0,1.0,0.2828928105000796,0.036859248000073425,64.0
llava15-7b,scienceqa,64,no_semantics,200,0.6,0.53,0.665,0.0,0.0,0.0,1.0,1.0,0.28503189699993525,0.035391822999918075,64.0
llava15-7b,scienceqa,64,no_vision_space,200,0.6,0.53,0.665,0.0,0.0,0.0,1.0,1.0,0.2942763509999804,0.03873268049994295,64.0
llava15-7b,scienceqa,128,full,200,0.605,0.535,0.67,0.0,0.0,0.0,1.0,1.0,0.2556629889999249,0.030695587499994872,128.0
llava15-7b,scienceqa,128,no_diversity_expert,200,0.605,0.535,0.67,0.0,0.0,0.0,1.0,1.0,0.1263792089999606,0.011461522500067076,128.0
llava15-7b,scienceqa,128,no_intent_routing,200,0.605,0.535,0.67,0.0,0.0,0.0,1.0,1.0,0.12816308350005784,0.011331251499941573,128.0
llava15-7b,scienceqa,128,no_modality_calibration,200,0.605,0.535,0.67,0.0,0.0,0.0,1.0,1.0,0.12571419149995564,0.011032783000118798,128.0
llava15-7b,scienceqa,128,no_projected_geometry,200,0.595,0.53,0.66,-0.01,-0.025,0.0,0.48795120487951205,1.0,0.1269585809999535,0.011637575999975525,128.0
llava15-7b,scienceqa,128,no_residual_space,200,0.605,0.535,0.67,0.0,0.0,0.0,1.0,1.0,0.13052809749996414,0.01176387850006904,128.0
llava15-7b,scienceqa,128,no_semantics,200,0.605,0.535,0.67,0.0,0.0,0.0,1.0,1.0,0.12685469700002613,0.011178361000002041,128.0
llava15-7b,scienceqa,128,no_vision_space,200,0.605,0.535,0.67,0.0,0.0,0.0,1.0,1.0,0.135579498999914,0.01336436550005601,128.0
llava15-7b,gqa,64,full,200,0.64,0.57,0.705,0.0,0.0,0.0,1.0,1.0,0.25689388099998267,0.03129325849999532,64.0
llava15-7b,gqa,64,no_diversity_expert,200,0.65,0.58,0.715,0.01,-0.025,0.045,0.787021297870213,1.0,0.14269295549999697,0.01652553000003536,64.0
llava15-7b,gqa,64,no_intent_routing,200,0.655,0.585,0.72,0.015,-0.02,0.05,0.5742425757424258,1.0,0.12144947399998272,0.01215787400001318,64.0
llava15-7b,gqa,64,no_modality_calibration,200,0.63,0.56,0.695,-0.01,-0.025,0.0,0.49475052494750527,1.0,0.12824082300006012,0.012779853500051104,64.0
llava15-7b,gqa,64,no_projected_geometry,200,0.635,0.565,0.7,-0.005,-0.035,0.025,1.0,1.0,0.13131045800005267,0.013386266999959843,64.0
llava15-7b,gqa,64,no_residual_space,200,0.64,0.57,0.705,0.0,0.0,0.0,1.0,1.0,0.14693544349999685,0.01274756450008681,64.0
llava15-7b,gqa,64,no_semantics,200,0.63,0.56,0.695,-0.01,-0.025,0.0,0.49475052494750527,1.0,0.13016759550000642,0.012131864999946628,64.0
llava15-7b,gqa,64,no_vision_space,200,0.64,0.57,0.705,0.0,0.0,0.0,1.0,1.0,0.1311207629999717,0.012214775499969618,64.0
llava15-7b,gqa,128,full,200,0.7,0.635,0.765,0.0,0.0,0.0,1.0,1.0,0.2683049310000524,0.027861118999981047,128.0
llava15-7b,gqa,128,no_diversity_expert,200,0.7,0.635,0.765,0.0,0.0,0.0,1.0,1.0,0.13381233250008337,0.01062969200003863,128.0
llava15-7b,gqa,128,no_intent_routing,200,0.695,0.63,0.76,-0.005,-0.015,0.0,1.0,1.0,0.1340083849999701,0.010635131500057468,128.0
llava15-7b,gqa,128,no_modality_calibration,200,0.7,0.635,0.765,0.0,0.0,0.0,1.0,1.0,0.13137719749993265,0.00999157499998546,128.0
llava15-7b,gqa,128,no_projected_geometry,200,0.69,0.625,0.755,-0.01,-0.05,0.03,0.8022197780221978,1.0,0.13895039150002048,0.0121180490000188,128.0
llava15-7b,gqa,128,no_residual_space,200,0.7,0.635,0.765,0.0,0.0,0.0,1.0,1.0,0.14245173100010106,0.011569715500017992,128.0
llava15-7b,gqa,128,no_semantics,200,0.7,0.635,0.765,0.0,0.0,0.0,1.0,1.0,0.1320505389999562,0.009964569499989012,128.0
llava15-7b,gqa,128,no_vision_space,200,0.695,0.63,0.76,-0.005,-0.015,0.0,1.0,1.0,0.13253687250003168,0.0106344244999309,128.0
