variant,samples,score_mean,score_ci95_low,score_ci95_high,difference_vs_full,difference_ci95_low,difference_ci95_high,p_value,p_holm,latency_mean_s,routing_mean_s,visual_tokens_mean
full,200,0.83,0.775,0.88,0.0,0.0,0.0,1.0,1.0,0.26120973249996043,0.026620000000020808,128.0
no_diversity_expert,200,0.83,0.775,0.88,0.0,0.0,0.0,1.0,1.0,0.2520445684998867,0.027052931500011253,128.0
no_intent_routing,200,0.83,0.775,0.88,0.0,0.0,0.0,1.0,1.0,0.24356964899997366,0.026988326999999118,128.0
no_modality_calibration,200,0.83,0.775,0.88,0.0,0.0,0.0,1.0,1.0,0.25103715750001354,0.02707968550001169,128.0
no_projected_geometry,200,0.82,0.765,0.87,-0.01,-0.045,0.025,0.7681231876812319,1.0,0.2465519659999518,0.027254086000011737,128.0
no_residual_space,200,0.83,0.775,0.88,0.0,0.0,0.0,1.0,1.0,0.25272711799991154,0.026724484499973188,128.0
no_semantics,200,0.83,0.775,0.88,0.0,0.0,0.0,1.0,1.0,0.25773168549998443,0.026662252999940392,128.0
no_vision_space,200,0.83,0.775,0.88,0.0,0.0,0.0,1.0,1.0,0.24992601600001763,0.027447244500017405,128.0
